valor,unidad,vigenciadesde,vigenciahasta
643.42,COP,1991-12-02,1991-12-02
639.22,COP,1991-12-03,1991-12-03
635.7,COP,1991-12-04,1991-12-04
631.51,COP,1991-12-05,1991-12-05
627.16,COP,1991-12-06,1991-12-06
638.06,COP,1991-12-07,1991-12-09
622.92,COP,1991-12-10,1991-12-10
627.46,COP,1991-12-11,1991-12-11
633.09,COP,1991-12-12,1991-12-12
632.35,COP,1991-12-13,1991-12-13
630.91,COP,1991-12-14,1991-12-16
626.23,COP,1991-12-17,1991-12-17
626.52,COP,1991-12-18,1991-12-18
633.35,COP,1991-12-19,1991-12-19
621.71,COP,1991-12-20,1991-12-20
620.62,COP,1991-12-21,1991-12-23
622.95,COP,1991-12-24,1991-12-24
622.95,COP,1991-12-25,1991-12-26
631.63,COP,1991-12-27,1991-12-27
632.37,COP,1991-12-28,1991-12-30
632.37,COP,1991-12-31,1991-12-31
632.37,COP,1992-01-01,1992-01-01
638.61,COP,1992-01-02,1992-01-02
632.58,COP,1992-01-03,1992-01-03
638.07,COP,1992-01-04,1992-01-07
638.17,COP,1992-01-08,1992-01-08
638.61,COP,1992-01-09,1992-01-09
637.86,COP,1992-01-10,1992-01-10
645.04,COP,1992-01-11,1992-01-13
659.74,COP,1992-01-14,1992-01-14
657.49,COP,1992-01-15,1992-01-15
653.45,COP,1992-01-16,1992-01-16
652.91,COP,1992-01-17,1992-01-17
645.35,COP,1992-01-18,1992-01-20
645.97,COP,1992-01-21,1992-01-21
647.04,COP,1992-01-22,1992-01-22
647.01,COP,1992-01-23,1992-01-23
647.01,COP,1992-01-24,1992-01-24
644.83,COP,1992-01-25,1992-01-27
645.53,COP,1992-01-28,1992-01-28
645.2,COP,1992-01-29,1992-01-29
644.04,COP,1992-01-30,1992-01-30
644.27,COP,1992-01-31,1992-01-31
640.52,COP,1992-02-01,1992-02-03
640.52,COP,1992-02-04,1992-02-04
638.01,COP,1992-02-05,1992-02-05
637.65,COP,1992-02-06,1992-02-06
636.9,COP,1992-02-07,1992-02-07
635.34,COP,1992-02-08,1992-02-10
634.74,COP,1992-02-11,1992-02-11
634.59,COP,1992-02-12,1992-02-12
634.67,COP,1992-02-13,1992-02-13
635.6,COP,1992-02-14,1992-02-14
634.74,COP,1992-02-15,1992-02-17
635.66,COP,1992-02-18,1992-02-18
635.21,COP,1992-02-19,1992-02-19
634.93,COP,1992-02-20,1992-02-20
633.31,COP,1992-02-21,1992-02-21
633.03,COP,1992-02-22,1992-02-24
633.55,COP,1992-02-25,1992-02-25
633.74,COP,1992-02-26,1992-02-26
634.06,COP,1992-02-27,1992-02-27
633.91,COP,1992-02-28,1992-02-28
636.54,COP,1992-02-29,1992-03-02
640.95,COP,1992-03-03,1992-03-03
636.05,COP,1992-03-04,1992-03-04
635.86,COP,1992-03-05,1992-03-05
636.73,COP,1992-03-06,1992-03-06
636.22,COP,1992-03-07,1992-03-09
635.88,COP,1992-03-10,1992-03-10
639.78,COP,1992-03-11,1992-03-11
639.38,COP,1992-03-12,1992-03-12
641.29,COP,1992-03-13,1992-03-13
642.0,COP,1992-03-14,1992-03-16
644.13,COP,1992-03-17,1992-03-17
643.83,COP,1992-03-18,1992-03-18
642.59,COP,1992-03-19,1992-03-19
641.53,COP,1992-03-20,1992-03-20
640.37,COP,1992-03-21,1992-03-24
642.0,COP,1992-03-25,1992-03-25
641.81,COP,1992-03-26,1992-03-26
641.22,COP,1992-03-27,1992-03-27
647.24,COP,1992-03-28,1992-03-30
641.59,COP,1992-03-31,1992-03-31
641.98,COP,1992-04-01,1992-04-01
645.14,COP,1992-04-02,1992-04-02
644.77,COP,1992-04-03,1992-04-03
643.11,COP,1992-04-04,1992-04-06
645.73,COP,1992-04-07,1992-04-07
643.98,COP,1992-04-08,1992-04-08
644.61,COP,1992-04-09,1992-04-09
646.5,COP,1992-04-10,1992-04-10
647.28,COP,1992-04-11,1992-04-13
649.48,COP,1992-04-14,1992-04-14
655.66,COP,1992-04-15,1992-04-15
657.97,COP,1992-04-16,1992-04-20
655.32,COP,1992-04-21,1992-04-21
652.57,COP,1992-04-22,1992-04-22
651.48,COP,1992-04-23,1992-04-23
650.24,COP,1992-04-24,1992-04-24
651.36,COP,1992-04-25,1992-04-27
650.31,COP,1992-04-28,1992-04-28
651.95,COP,1992-04-29,1992-04-29
653.83,COP,1992-04-30,1992-04-30
653.58,COP,1992-05-01,1992-05-04
653.1,COP,1992-05-05,1992-05-05
653.7,COP,1992-05-06,1992-05-06
654.74,COP,1992-05-07,1992-05-07
656.4,COP,1992-05-08,1992-05-08
657.91,COP,1992-05-09,1992-05-11
658.52,COP,1992-05-12,1992-05-12
660.57,COP,1992-05-13,1992-05-13
660.88,COP,1992-05-14,1992-05-14
663.43,COP,1992-05-15,1992-05-15
663.58,COP,1992-05-16,1992-05-18
663.75,COP,1992-05-19,1992-05-19
664.5,COP,1992-05-20,1992-05-20
663.1,COP,1992-05-21,1992-05-21
662.6,COP,1992-05-22,1992-05-22
662.11,COP,1992-05-23,1992-05-25
662.15,COP,1992-05-26,1992-05-26
660.46,COP,1992-05-27,1992-05-27
660.16,COP,1992-05-28,1992-05-28
660.99,COP,1992-05-29,1992-05-29
664.37,COP,1992-05-30,1992-06-02
666.11,COP,1992-06-03,1992-06-03
664.3,COP,1992-06-04,1992-06-04
666.47,COP,1992-06-05,1992-06-05
664.36,COP,1992-06-06,1992-06-08
665.91,COP,1992-06-09,1992-06-09
665.92,COP,1992-06-10,1992-06-10
667.96,COP,1992-06-11,1992-06-11
667.52,COP,1992-06-12,1992-06-12
669.55,COP,1992-06-13,1992-06-15
671.36,COP,1992-06-16,1992-06-16
675.76,COP,1992-06-17,1992-06-17
680.17,COP,1992-06-18,1992-06-18
678.25,COP,1992-06-19,1992-06-19
683.37,COP,1992-06-20,1992-06-23
690.08,COP,1992-06-24,1992-06-24
699.09,COP,1992-06-25,1992-06-25
701.83,COP,1992-06-26,1992-06-26
697.57,COP,1992-06-27,1992-06-30
695.36,COP,1992-07-01,1992-07-01
694.43,COP,1992-07-02,1992-07-02
693.71,COP,1992-07-03,1992-07-03
693.4,COP,1992-07-04,1992-07-06
696.12,COP,1992-07-07,1992-07-07
695.65,COP,1992-07-08,1992-07-08
699.01,COP,1992-07-09,1992-07-09
703.74,COP,1992-07-10,1992-07-10
708.72,COP,1992-07-11,1992-07-13
720.47,COP,1992-07-14,1992-07-14
719.15,COP,1992-07-15,1992-07-15
717.45,COP,1992-07-16,1992-07-16
717.7,COP,1992-07-17,1992-07-17
715.11,COP,1992-07-18,1992-07-21
710.91,COP,1992-07-22,1992-07-22
707.96,COP,1992-07-23,1992-07-23
699.73,COP,1992-07-24,1992-07-24
699.68,COP,1992-07-25,1992-07-27
701.66,COP,1992-07-28,1992-07-28
701.89,COP,1992-07-29,1992-07-29
702.02,COP,1992-07-30,1992-07-30
705.14,COP,1992-07-31,1992-07-31
702.52,COP,1992-08-01,1992-08-03
701.82,COP,1992-08-04,1992-08-04
698.84,COP,1992-08-05,1992-08-05
695.32,COP,1992-08-06,1992-08-06
694.25,COP,1992-08-07,1992-08-10
692.72,COP,1992-08-11,1992-08-11
692.25,COP,1992-08-12,1992-08-12
694.28,COP,1992-08-13,1992-08-13
692.51,COP,1992-08-14,1992-08-14
693.25,COP,1992-08-15,1992-08-18
693.69,COP,1992-08-19,1992-08-19
692.48,COP,1992-08-20,1992-08-20
692.56,COP,1992-08-21,1992-08-21
693.94,COP,1992-08-22,1992-08-24
689.56,COP,1992-08-25,1992-08-25
689.21,COP,1992-08-26,1992-08-26
689.45,COP,1992-08-27,1992-08-27
690.3,COP,1992-08-28,1992-08-28
691.68,COP,1992-08-29,1992-08-31
691.9,COP,1992-09-01,1992-09-01
692.89,COP,1992-09-02,1992-09-02
693.02,COP,1992-09-03,1992-09-03
695.62,COP,1992-09-04,1992-09-04
696.77,COP,1992-09-05,1992-09-07
697.69,COP,1992-09-08,1992-09-08
698.28,COP,1992-09-09,1992-09-09
695.38,COP,1992-09-10,1992-09-10
695.54,COP,1992-09-11,1992-09-11
696.39,COP,1992-09-12,1992-09-14
696.29,COP,1992-09-15,1992-09-15
696.84,COP,1992-09-16,1992-09-16
695.7,COP,1992-09-17,1992-09-17
696.66,COP,1992-09-18,1992-09-18
696.42,COP,1992-09-19,1992-09-21
699.16,COP,1992-09-22,1992-09-22
697.77,COP,1992-09-23,1992-09-23
698.4,COP,1992-09-24,1992-09-24
697.01,COP,1992-09-25,1992-09-25
704.8,COP,1992-09-26,1992-09-28
701.0,COP,1992-09-29,1992-09-29
702.81,COP,1992-09-30,1992-09-30
699.7,COP,1992-10-01,1992-10-01
703.08,COP,1992-10-02,1992-10-02
710.22,COP,1992-10-03,1992-10-05
704.52,COP,1992-10-06,1992-10-06
703.66,COP,1992-10-07,1992-10-07
702.71,COP,1992-10-08,1992-10-08
704.06,COP,1992-10-09,1992-10-09
701.88,COP,1992-10-10,1992-10-13
702.48,COP,1992-10-14,1992-10-14
705.52,COP,1992-10-15,1992-10-15
708.21,COP,1992-10-16,1992-10-16
707.13,COP,1992-10-17,1992-10-19
707.35,COP,1992-10-20,1992-10-20
706.06,COP,1992-10-21,1992-10-21
709.22,COP,1992-10-22,1992-10-22
710.19,COP,1992-10-23,1992-10-23
712.04,COP,1992-10-24,1992-10-26
713.55,COP,1992-10-27,1992-10-27
716.39,COP,1992-10-28,1992-10-28
715.31,COP,1992-10-29,1992-10-29
717.37,COP,1992-10-30,1992-10-30
716.88,COP,1992-10-31,1992-11-03
718.98,COP,1992-11-04,1992-11-04
719.21,COP,1992-11-05,1992-11-05
720.96,COP,1992-11-06,1992-11-06
722.57,COP,1992-11-07,1992-11-09
720.48,COP,1992-11-10,1992-11-10
722.37,COP,1992-11-11,1992-11-11
723.72,COP,1992-11-12,1992-11-12
722.72,COP,1992-11-13,1992-11-13
724.07,COP,1992-11-14,1992-11-17
730.11,COP,1992-11-18,1992-11-18
724.97,COP,1992-11-19,1992-11-19
724.9,COP,1992-11-20,1992-11-20
721.98,COP,1992-11-21,1992-11-23
726.97,COP,1992-11-24,1992-11-24
720.63,COP,1992-11-25,1992-11-25
721.47,COP,1992-11-26,1992-11-26
722.61,COP,1992-11-27,1992-11-27
725.45,COP,1992-11-28,1992-11-30
729.42,COP,1992-12-01,1992-12-01
725.75,COP,1992-12-02,1992-12-02
729.74,COP,1992-12-03,1992-12-03
738.19,COP,1992-12-04,1992-12-04
736.29,COP,1992-12-05,1992-12-07
732.11,COP,1992-12-08,1992-12-09
732.4,COP,1992-12-10,1992-12-10
727.21,COP,1992-12-11,1992-12-11
729.8,COP,1992-12-12,1992-12-14
732.69,COP,1992-12-15,1992-12-15
736.2,COP,1992-12-16,1992-12-16
734.98,COP,1992-12-17,1992-12-17
732.54,COP,1992-12-18,1992-12-18
735.31,COP,1992-12-19,1992-12-21
736.82,COP,1992-12-22,1992-12-22
735.0,COP,1992-12-23,1992-12-23
735.19,COP,1992-12-24,1992-12-24
735.19,COP,1992-12-25,1992-12-28
737.44,COP,1992-12-29,1992-12-29
737.98,COP,1992-12-30,1992-12-30
737.98,COP,1992-12-31,1992-12-31
737.98,COP,1993-01-01,1993-01-04
737.55,COP,1993-01-05,1993-01-05
738.65,COP,1993-01-06,1993-01-06
740.08,COP,1993-01-07,1993-01-07
742.61,COP,1993-01-08,1993-01-08
746.63,COP,1993-01-09,1993-01-12
749.63,COP,1993-01-13,1993-01-13
748.98,COP,1993-01-14,1993-01-14
